Date,Price,Open,High,Low,Vol.,Change %
"Sep 16, 2015","1,321.12","1,327.28","1,334.68","1,317.20",,-0.55%
"Sep 15, 2015","1,328.47","1,337.60","1,344.20","1,325.30",,-0.79%
"Sep 14, 2015","1,339.03","1,340.36","1,344.91","1,333.22",,-0.16%
"Sep 11, 2015","1,341.11","1,332.74","1,342.98","1,330.18",,0.51%
"Sep 10, 2015","1,334.28","1,333.85","1,348.20","1,321.75",,-0.06%
"Sep 09, 2015","1,335.09","1,337.12","1,340.69","1,319.48",,-0.24%
"Sep 08, 2015","1,338.30","1,342.96","1,350.58","1,331.81",,-0.42%
"Sep 07, 2015","1,343.89","1,338.71","1,347.21","1,334.92",,0.36%
"Sep 04, 2015","1,339.12","1,323.68","1,340.35","1,316.50",,1.08%
"Sep 03, 2015","1,324.85","1,328.13","1,340.39","1,315.49",,-0.34%
"Sep 02, 2015","1,329.37","1,333.62","1,338.22","1,323.76",,-0.43%
"Sep 01, 2015","1,335.16","1,325.25","1,336.24","1,317.68",,0.66%
"Aug 31, 2015","1,326.47","1,316.85","1,334.28","1,315.20",,0.56%
"Aug 28, 2015","1,319.03","1,318.95","1,331.35","1,313.21",,-0.10%
"Aug 27, 2015","1,320.37","1,337.66","1,348.02","1,311.47",,-1.38%
"Aug 26, 2015","1,338.79","1,370.35","1,378.42","1,335.23",,-2.40%
"Aug 25, 2015","1,371.68","1,382.47","1,387.91","1,345.27",,-0.90%
"Aug 24, 2015","1,384.11","1,356.74","1,410.64","1,356.74",,1.62%
"Aug 21, 2015","1,362.01","1,330.97","1,362.49","1,328.83",,2.25%
"Aug 20, 2015","1,332.04","1,315.32","1,333.94","1,311.01",,1.16%
"Aug 19, 2015","1,316.72","1,305.95","1,319.16","1,304.43",,0.73%
"Aug 18, 2015","1,307.17","1,309.42","1,315.85","1,304.53",,-0.28%
"Aug 17, 2015","1,310.88","1,309.02","1,318.10","1,306.93",,0.08%
"Aug 14, 2015","1,309.82","1,312.69","1,319.56","1,305.50",,-0.31%
"Aug 13, 2015","1,313.92","1,308.13","1,315.91","1,302.10",,0.35%
"Aug 12, 2015","1,309.31","1,300.65","1,324.62","1,300.05",,0.57%
"Aug 11, 2015","1,301.93","1,275.87","1,309.14","1,273.01",,1.92%
"Aug 10, 2015","1,277.38","1,276.18","1,281.59","1,271.40",,-0.01%
"Aug 07, 2015","1,277.51","1,270.46","1,280.16","1,261.75",,0.49%
"Aug 06, 2015","1,271.33","1,279.29","1,281.46","1,266.87",,-0.70%
"Aug 05, 2015","1,280.26","1,270.95","1,282.78","1,269.26",,0.61%
"Aug 04, 2015","1,272.51","1,281.19","1,284.58","1,269.10",,-0.77%
"Aug 03, 2015","1,282.35","1,278.51","1,284.70","1,275.09",,0.03%
"Jul 31, 2015","1,281.93","1,281.30","1,296.66","1,275.71",,-0.05%
"Jul 30, 2015","1,282.63","1,275.40","1,287.91","1,274.31",,0.47%
"Jul 29, 2015","1,276.62","1,282.25","1,285.55","1,273.07",,-0.53%
"Jul 28, 2015","1,283.47","1,293.83","1,299.49","1,279.95",,-0.91%
"Jul 27, 2015","1,295.23","1,282.89","1,300.78","1,281.48",,0.76%
"Jul 24, 2015","1,285.51","1,275.04","1,289.32","1,273.45",,0.72%
"Jul 23, 2015","1,276.31","1,263.20","1,279.60","1,262.46",,0.89%
"Jul 22, 2015","1,265.05","1,255.16","1,265.05","1,253.84",,0.68%
"Jul 21, 2015","1,256.49","1,250.93","1,260.64","1,249.93",,0.33%
"Jul 20, 2015","1,252.36","1,244.60","1,258.58","1,244.01",,0.55%
"Jul 17, 2015","1,245.47","1,245.82","1,251.06","1,243.04",,-0.14%
"Jul 16, 2015","1,247.19","1,255.04","1,258.03","1,244.83",,-0.73%
"Jul 15, 2015","1,256.35","1,257.46","1,263.83","1,252.04",,-0.20%
"Jul 14, 2015","1,258.85","1,249.26","1,265.63","1,246.90",,0.66%
"Jul 13, 2015","1,250.65","1,254.52","1,265.54","1,248.43",,-0.97%
"Jul 10, 2015","1,262.93","1,248.30","1,264.46","1,247.56",,1.05%
"Jul 09, 2015","1,249.80","1,256.49","1,262.73","1,242.87",,-0.66%
"Jul 08, 2015","1,258.05","1,248.31","1,259.20","1,244.95",,0.67%
"Jul 07, 2015","1,249.69","1,243.67","1,256.22","1,236.00",,0.37%
"Jul 06, 2015","1,245.12","1,233.76","1,249.71","1,229.57",,-0.20%
"Jul 03, 2015","1,247.66","1,244.07","1,250.03","1,238.31",,0.19%
"Jul 02, 2015","1,245.34","1,242.48","1,249.59","1,238.38",,0.13%
"Jul 01, 2015","1,243.76","1,246.38","1,251.38","1,241.08",,-0.29%
"Jun 30, 2015","1,247.43","1,257.26","1,259.56","1,240.41",,-0.89%
"Jun 29, 2015","1,258.62","1,238.07","1,263.41","1,228.81",,0.38%
"Jun 26, 2015","1,253.88","1,244.75","1,262.33","1,243.23",,0.64%
"Jun 25, 2015","1,245.91","1,242.61","1,247.78","1,238.77",,0.16%
"Jun 24, 2015","1,243.96","1,234.99","1,246.26","1,232.98",,0.63%
